No,Rarity,Id,Japanese Name,English Name,Civilization,Set,Reference,Price (Yen),Price (SGD),Qty
68,Super Rare,14a/112,邪帝斧デッドアックス,"Deadaxe, Evil Tomahawk",Nature,DM23-EX2,"https://duelmasters.fandom.com/wiki/Deadaxe,_Evil_Tomahawk",680,5.92,0
69,Super Rare,14b/112,真なる邪悪ザ＝デッドマン,"The=Deadman, True Evil",Nature,DM23-EX2,"https://duelmasters.fandom.com/wiki/The%3DDeadman,_True_Evil",680,5.92,0
70,Super Rare,15/112,サファイア・ウィズダム,Sapphire Wisdom,Light/Water,DM23-EX2,https://duelmasters.fandom.com/wiki/Sapphire_Wisdom,180,1.57,0
71,Super Rare,16/112,頂上連結ロッド・ゾージア5th,"Rod Zosia Fifth, Concatenated Summit",Light/Fire,DM23-EX2,"https://duelmasters.fandom.com/wiki/Rod_Zosia_Fifth,_Concatenated_Summit",4480,38.98,0
72,Super Rare,17/112,MMM-ジョーキング,"Joeking, Triple MAX",Light/Nature,DM23-EX2,"https://duelmasters.fandom.com/wiki/Joeking,_Triple_MAX",320,2.78,0
73,Super Rare,18/112,頂上縫合ドギラディス勝3rd,"Dogiradeis Optimus Third, Sutured Summit",Water/Nature,DM23-EX2,"https://duelmasters.fandom.com/wiki/Dogiradeis_Optimus_Third,_Sutured_Summit",320,2.78,0
74,Super Rare,19/112,頂上混成ガリュディアス・モモミーズ'22,"Garyudeias Momomizu Twenty Two, Hybrid Summit",Light/Water/Fire,DM23-EX2,"https://duelmasters.fandom.com/wiki/Garyudeias_Momomizu_Twenty_Two,_Hybrid_Summit",780,6.79,0
75,Super Rare,20/112,頂上電融ジョルト・ザ・ジョクスト4th,"Jolt The Jokest 4th, Electrofused Summit",Water/Fire/Nature,DM23-EX2,"https://duelmasters.fandom.com/wiki/Jolt_The_Jokest_4th,_Electrofused_Summit",180,1.57,0
76,Super Rare,21a/112,伝説の龍魂群英皇帝ワールド,"Forever Emperor World, Legendary Dragon Soul Group",Light/Water/Darkness/Fire/Nature,DM23-EX2,"https://duelmasters.fandom.com/wiki/Forever_Emperor_World,_Legendary_Dragon_Soul_Group",180,1.57,0
77,Super Rare,21b/112,伝説龍魂オール・オーバー・ザ・ワールド,"All Over The World, Legendary Dragon Soul",Light/Water/Darkness/Fire/Nature,DM23-EX2,"https://duelmasters.fandom.com/wiki/All_Over_The_World,_Legendary_Dragon_Soul",180,1.57,0
78,Super Rare,22/112,卍月ガ・リュザーク 卍,"Bangetsu 卍 Ga Ryuzark 卍 / ""I can see everything!""",Water,DM23-EX2,https://duelmasters.fandom.com/wiki/Bangetsu_%E5%8D%8D_Ga_Ryuzark_%E5%8D%8D_/_%22I_can_see_everything!%22,420,3.65,0
79,Very Rare,23/112,魔壊業皇デストピア,"Dystopia, Devilish Emperor",Colourless,DM23-EX2,"https://duelmasters.fandom.com/wiki/Dystopia,_Devilish_Emperor",120,1.04,0
80,Very Rare,24/112,頂上連結サックーヴ・ヴァッサークァ7th,"Sakarv Vasark 7th, Concantenated Summit",Light,DM23-EX2,"https://duelmasters.fandom.com/wiki/Sakarv_Vasark_7th,_Concantenated_Summit",120,1.04,0
81,Very Rare,25/112,こたつむり,Kotatsumuri,Fire,DM23-EX2,https://duelmasters.fandom.com/wiki/Kotatsumuri,120,1.04,0
82,Very Rare,26/112,超神羅ギャラクシー・デスティニー,"Galaxy Destiny, the Super Enlightened",Nature,DM23-EX2,"https://duelmasters.fandom.com/wiki/Galaxy_Destiny,_the_Super_Enlightened",120,1.04,0
83,Very Rare,27/112,禁断樹幹WO-ZERO,"WO-ZERO, Forbidden Trunk",Nature,DM23-EX2,"https://duelmasters.fandom.com/wiki/WO-ZERO,_Forbidden_Trunk",180,1.57,0
